f,m,n,declension
horribilis,horribilis,horribile,III
horridula,horridulus,horridulum,I_II
horrida,horridus,horridum,I_II
horrifera,horrifer,horriferum,I_II
horrifica,horrificus,horrificum,I_II
horrisona,horrisonus,horrisonum,I_II
hospitālis,hospitālis,hospitāle,III
hostica,hosticus,hosticum,I_II
hostifica,hostificus,hostificum,I_II
hostīlis,hostīlis,hostīle,III
hūmāna,hūmānus,hūmānum,I_II
humilis,humilis,humile,III
hyacinthina,hyacinthinus,hyacinthinum,I_II
hydrōpica,hydrōpicus,hydrōpicum,I_II
hyperborea,hyperboreus,hyperboreum,I_II
iacēns,iacēns,iacēns,III
iactāns,iactāns,iactāns,III
iaculābilis,iaculābilis,iaculābile,III
iama,iam,iamum,I_II
iambēa,iambēus,iambēum,I_II
Iānuāria,Iānuārius,Iānuārium,I_II
Iāpys,Iāpys,Iāpys,III
Iāpyx,Iāpyx,Iāpyx,III
icterica,ictericus,ictericum,I_II
idōnea,idōneus,idōneum,I_II
iēiūnēa,iēiūnē,iēiūnēum,I_II
iēiūna,iēiūnus,iēiūnum,I_II
īgnāra,īgnārus,īgnārum,I_II
īgnāva,īgnāvus,īgnāvum,I_II
īgnea,īgneus,īgneum,I_II
īgnifera,īgnifer,īgniferum,I_II
īgnipēs,īgnipēs,īgnipēs,III
īgnipotēns,īgnipotēns,īgnipotēns,III
īgnōbilis,īgnōbilis,īgnōbile,III
īgnōminiōsa,īgnōminiōsus,īgnōminiōsum,I_II
īgnōrābilis,īgnōrābilis,īgnōrābile,III
īgnōrāns,īgnōrāns,īgnōrāns,III
īgnōrāta,īgnōrātus,īgnōrātum,I_II
īgnōta,īgnōtus,īgnōtum,I_II
Īliaca,Īliacus,Īliacum,I_II
īlīgna,īlīgnus,īlīgnum,I_II
imāgināria,imāginārius,imāginārium,I_II
imāginōsa,imāginōsus,imāginōsum,I_II
imbēcilla,imbēcillus,imbēcillum,I_II
imbellis,imbellis,imbelle,III
imberbis,imberbis,imberbe,III
imberba,imberbus,imberbum,I_II
imbrifera,imbrifer,imbriferum,I_II
imitābilis,imitābilis,imitābile,III
imitāta,imitātus,imitātum,I_II
immānis,immānis,immāne,III
immānsuēta,immānsuētus,immānsuētum,I_II
immātūra,immātūrus,immātūrum,I_II
immedicābilis,immedicābilis,immedicābile,III
immemor,immemor,immemor,III
immemorāta,immemorātus,immemorātum,I_II
immēnsa,immēnsus,immēnsum,I_II
immerēns,immerēns,immerēns,III
immerita,immeritus,immeritum,I_II
immersābilis,immersābilis,immersābile,III
immētāta,immētātus,immētātum,I_II
imminūta,imminūtus,imminūtum,I_II
immiserābilis,immiserābilis,immiserābile,III
immisericors,immisericors,immisericors,III
immītis,immītis,immīte,III
immōbilis,immōbilis,immōbile,III
immoderāta,immoderātus,immoderātum,I_II
immodesta,immodestus,immodestum,I_II
immodica,immodicus,immodicum,I_II
immodulāta,immodulātus,immodulātum,I_II
immortālis,immortālis,immortāle,III
immōta,immōtus,immōtum,I_II
immunda,immundus,immundum,I_II
immūnis,immūnis,immūne,III
immūnīta,immūnītus,immūnītum,I_II
immūtābilis,immūtābilis,immūtābile,III
immūtāta,immūtātus,immūtātum,I_II
impācāta,impācātus,impācātum,I_II
impār,impār,impār,III
imparāta,imparātus,imparātum,I_II
impāsta,impāstus,impāstum,I_II
impatiēns,impatiēns,impatiēns,III
impavida,impavidus,impavidum,I_II
impedīta,impedītus,impedītum,I_II
impenetrābilis,impenetrābilis,impenetrābile,III
impēnsa,impēnsus,impēnsum,I_II
imperātōria,imperātōrius,imperātōrium,I_II
impercepta,imperceptus,imperceptum,I_II
impercussa,impercussus,impercussum,I_II
imperdita,imperditus,imperditum,I_II
imperfecta,imperfectus,imperfectum,I_II
imperfossa,imperfossus,imperfossum,I_II
imperiōsa,imperiōsus,imperiōsum,I_II
imperīta,imperītus,imperītum,I_II
imperiūrāta,imperiūrātus,imperiūrātum,I_II
impermissa,impermissus,impermissum,I_II
imperterrita,imperterritus,imperterritum,I_II
imperturbāta,imperturbātus,imperturbātum,I_II
impervia,impervius,impervium,I_II
impetibilis,impetibilis,impetibile,III
impetrābilis,impetrābilis,impetrābile,III
impexa,impexus,impexum,I_II
impigera,impiger,impigerum,I_II
impia,impius,impium,I_II
implācābilis,implācābilis,implācābile,III
implācāta,implācātus,implācātum,I_II
implacida,implacidus,implacidum,I_II
implicāta,implicātus,implicātum,I_II
implūmis,implūmis,implūme,III
impolīta,impolītus,impolītum,I_II
impollūta,impollūtus,impollūtum,I_II
importūna,importūnus,importūnum,I_II
importuōsa,importuōsus,importuōsum,I_II
impotēns,impotēns,impotēns,III
imprānsa,imprānsus,imprānsum,I_II
impressa,impressus,impressum,I_II
improbula,improbulus,improbulum,I_II
improba,improbus,improbum,I_II
imprōcēra,imprōcērus,imprōcērum,I_II
imprōdicta,imprōdictus,imprōdictum,I_II
imprōmpta,imprōmptus,imprōmptum,I_II
improperāta,improperātus,improperātum,I_II
imprōspera,imprōsper,imprōsperum,I_II
imprōvida,imprōvidus,imprōvidum,I_II
imprōvīsa,imprōvīsus,imprōvīsum,I_II
imprūdēns,imprūdēns,imprūdēns,III
impūbēs,impūbēs,impūbēs,III
impudēns,impudēns,impudēns,III
impudīca,impudīcus,impudīcum,I_II
impūnis,impūnis,impūne,III
impūnīta,impūnītus,impūnītum,I_II
impūrāta,impūrātus,impūrātum,I_II
impūra,impūrus,impūrum,I_II
imputāta,imputātus,imputātum,I_II
īmula,īmulus,īmulum,I_II
īma,īmus,īmum,I_II
inaccessa,inaccessus,inaccessum,I_II
inadsuēta,inadsuētus,inadsuētum,I_II
inadūsta,inadūstus,inadūstum,I_II
inaequābilis,inaequābilis,inaequābile,III
inaequālis,inaequālis,inaequāle,III
inaequāta,inaequātus,inaequātum,I_II
inaestimābilis,inaestimābilis,inaestimābile,III
inamābilis,inamābilis,inamābile,III
inambitiōsa,inambitiōsus,inambitiōsum,I_II
inamoena,inamoenus,inamoenum,I_II
inanimālis,inanimālis,inanimāle,III
inanima,inanimus,inanimum,I_II
inānis,inānis,ināne,III
inarāta,inarātus,inarātum,I_II
inattenuāta,inattenuātus,inattenuātum,I_II
inaudāx,inaudāx,inaudāx,III
inaudīta,inaudītus,inaudītum,I_II
inaurāta,inaurātus,inaurātum,I_II
inauspicāta,inauspicātus,inauspicātum,I_II
inaa,inausus,inaum,I_II
incaedua,incaeduus,incaeduum,I_II
incallida,incallidus,incallidum,I_II
incāna,incānus,incānum,I_II
incastīgāta,incastīgātus,incastīgātum,I_II
incauta,incautus,incautum,I_II
incelebrāta,incelebrātus,incelebrātum,I_II
incēnsa,incēnsus,incēnsum,I_II
incēnsa,incēnsus,incēnsum,I_II
incerta,incertus,incertum,I_II
incesta,incestus,incestum,I_II
incitāta,incitātus,incitātum,I_II
incita,incitus,incitum,I_II
inclēmēns,inclēmēns,inclēmēns,III
inclīnāta,inclīnātus,inclīnātum,I_II
inclutusandinclita,inclutusandinclitus,inclutusandinclitum,I_II
incōgitāns,incōgitāns,incōgitāns,III
incōgnita,incōgnitus,incōgnitum,I_II
incohāta,incohātus,incohātum,I_II
incolumis,incolumis,incolume,III
incomitāta,incomitātus,incomitātum,I_II
incommendāta,incommendātus,incommendātum,I_II
incommoda,incommodus,incommodum,I_II
incommūtābilis,incommūtābilis,incommūtābile,III
incomperta,incompertus,incompertum,I_II
incomposita,incompositus,incompositum,I_II
incōmpta,incōmptus,incōmptum,I_II
inconcessa,inconcessus,inconcessum,I_II
inconcinna,inconcinnus,inconcinnum,I_II
inconcussa,inconcussus,inconcussum,I_II
incondita,inconditus,inconditum,I_II
incōnsīderāta,incōnsīderātus,incōnsīderātum,I_II
incōnsōlābilis,incōnsōlābilis,incōnsōlābile,III
incōnstāns,incōnstāns,incōnstāns,III
incōnsulta,incōnsultus,incōnsultum,I_II
incōnsūmpta,incōnsūmptus,incōnsūmptum,I_II
incontāmināta,incontāminātus,incontāminātum,I_II
incontenta,incontentus,incontentum,I_II
incontinēns,incontinēns,incontinēns,III
inconveniēns,inconveniēns,inconveniēns,III
incorrēcta,incorrēctus,incorrēctum,I_II
incorrupta,incorruptus,incorruptum,I_II
incrēdibilis,incrēdibilis,incrēdibile,III
incruentāta,incruentātus,incruentātum,I_II
incruenta,incruentus,incruentum,I_II
inculpāta,inculpātus,inculpātum,I_II
inculta,incultus,incultum,I_II
incūrāta,incūrātus,incūrātum,I_II
incūriōsa,incūriōsus,incūriōsum,I_II
incurvāta,incurvātus,incurvātum,I_II
incurva,incurvus,incurvum,I_II
indēbita,indēbitus,indēbitum,I_II
indēclīnāta,indēclīnātus,indēclīnātum,I_II
indecoris,indecoris,indecore,III
indecōra,indecōrus,indecōrum,I_II
indēfēnsa,indēfēnsus,indēfēnsum,I_II
indēfessa,indēfessus,indēfessum,I_II
indēflēta,indēflētus,indēflētum,I_II
indēiecta,indēiectus,indēiectum,I_II
indēlēbilis,indēlēbilis,indēlēbile,III
indēlībāta,indēlībātus,indēlībātum,I_II
indemnāta,indemnātus,indemnātum,I_II
indēplōrāta,indēplōrātus,indēplōrātum,I_II
indēprēnsa,indēprēnsus,indēprēnsum,I_II
indēserta,indēsertus,indēsertum,I_II
indēstricta,indēstrictus,indēstrictum,I_II
indētōnsa,indētōnsus,indētōnsum,I_II
indēvītāta,indēvītātus,indēvītātum,I_II
indīcēns,indīcēns,indīcēns,III
indicta,indictus,indictum,I_II
Indica,Indicus,Indicum,I_II
indifferēns,indifferēns,indifferēns,III
indigenaa,indigena,indigenaum,I_II
indigēns,indigēns,indigēns,III
indigēs,indigēs,indigēs,III
indīgesta,indīgestus,indīgestum,I_II
indīgnābunda,indīgnābundus,indīgnābundum,I_II
indīgnanda,indīgnandus,indīgnandum,I_II
indīgnāns,indīgnāns,indīgnāns,III
indīgnāta,indīgnātus,indīgnātum,I_II
indīgna,indīgnus,indīgnum,I_II
indiga,indigus,indigum,I_II
indīligēns,indīligēns,indīligēns,III
indīrepta,indīreptus,indīreptum,I_II
indiscrēta,indiscrētus,indiscrētum,I_II
indiserta,indisertus,indisertum,I_II
indisposita,indispositus,indispositum,I_II
indissolūbilis,indissolūbilis,indissolūbile,III
indistincta,indistinctus,indistinctum,I_II
indita,inditus,inditum,I_II
indīvidua,indīviduus,indīviduum,I_II
indocilis,indocilis,indocile,III
indocta,indoctus,indoctum,I_II
indomita,indomitus,indomitum,I_II
indōtāta,indōtātus,indōtātum,I_II
indubia,indubius,indubium,I_II
indulgēns,indulgēns,indulgēns,III
indūrāta,indūrātus,indūrātum,I_II
industria,industrius,industrium,I_II
inēdita,inēditus,inēditum,I_II
inēlegāns,inēlegāns,inēlegāns,III
inēlūctābilis,inēlūctābilis,inēlūctābile,III
inēmpta,inēmptus,inēmptum,I_II
inēnārrābilis,inēnārrābilis,inēnārrābile,III
inēnōdābilis,inēnōdābilis,inēnōdābile,III
inepta,ineptus,ineptum,I_II
inequitābilis,inequitābilis,inequitābile,III
inermis,inermis,inerme,III
inerma,inermus,inermum,I_II
inerrāns,inerrāns,inerrāns,III
iners,iners,iners,III
inērudīta,inērudītus,inērudītum,I_II
inēvītābilis,inēvītābilis,inēvītābile,III
inexcīta,inexcītus,inexcītum,I_II
inexcūsābilis,inexcūsābilis,inexcūsābile,III
inexercitāta,inexercitātus,inexercitātum,I_II
inexhausta,inexhaustus,inexhaustum,I_II
inexōrābilis,inexōrābilis,inexōrābile,III
inexperrēcta,inexperrēctus,inexperrēctum,I_II
inexperta,inexpertus,inexpertum,I_II
inexpiābilis,inexpiābilis,inexpiābile,III
inexplēbilis,inexplēbilis,inexplēbile,III
inexplēta,inexplētus,inexplētum,I_II
inexplicābilis,inexplicābilis,inexplicābile,III
inexplōrāta,inexplōrātus,inexplōrātum,I_II
inexpūgnābilis,inexpūgnābilis,inexpūgnābile,III
inexspectāta,inexspectātus,inexspectātum,I_II
inexstincta,inexstinctus,inexstinctum,I_II
inexsuperābilis,inexsuperābilis,inexsuperābile,III
inextrīcābilis,inextrīcābilis,inextrīcābile,III
īnfabricāta,īnfabricātus,īnfabricātum,I_II
īnfacēta,īnfacētus,īnfacētum,I_II
īnfācunda,īnfācundus,īnfācundum,I_II
īnfamāta,īnfamātus,īnfamātum,I_II
īnfāmis,īnfāmis,īnfāme,III
īnfanda,īnfandus,īnfandum,I_II
īnfāns,īnfāns,īnfāns,III
īnfausta,īnfaustus,īnfaustum,I_II
īnfecta,īnfectus,īnfectum,I_II
īnfēcunda,īnfēcundus,īnfēcundum,I_II
īnfēlīx,īnfēlīx,īnfēlīx,III
īnfēnsa,īnfēnsus,īnfēnsum,I_II
īnferiora,īnferior,īnferiorum,I_II
īnferia,īnferius,īnferium,I_II
īnferna,īnfernus,īnfernum,I_II
īnfera,īnferus,īnferum,I_II
īnfēsta,īnfēstus,īnfēstum,I_II
īnfidēlis,īnfidēlis,īnfidēle,III
īnfīda,īnfīdus,īnfīdum,I_II
īnfima,īnfimus,īnfimum,I_II
īnfīnīta,īnfīnītus,īnfīnītum,I_II
īnfīrma,īnfīrmus,īnfīrmum,I_II
īnfitiālis,īnfitiālis,īnfitiāle,III
īnflāta,īnflātus,īnflātum,I_II
īnflēta,īnflētus,īnflētum,I_II
īnfōrmis,īnfōrmis,īnfōrme,III
īnfortūnāta,īnfortūnātus,īnfortūnātum,I_II
īnfrācta,īnfrāctus,īnfrāctum,I_II
īnfragilis,īnfragilis,īnfragile,III
īnfrēnāta,īnfrēnātus,īnfrēnātum,I_II
īnfrēnis,īnfrēnis,īnfrēne,III
īnfrēna,īnfrēnus,īnfrēnum,I_II
īnfrequēns,īnfrequēns,īnfrequēns,III
īnfrōns,īnfrōns,īnfrōns,III
īnfrūctuōsa,īnfrūctuōsus,īnfrūctuōsum,I_II
īnfūcāta,īnfūcātus,īnfūcātum,I_II
ingeniōsa,ingeniōsus,ingeniōsum,I_II
ingenita,ingenitus,ingenitum,I_II
ingēns,ingēns,ingēns,III
ingenua,ingenuus,ingenuum,I_II
inglōria,inglōrius,inglōrium,I_II
ingrātifica,ingrātificus,ingrātificum,I_II
ingrāta,ingrātus,ingrātum,I_II
ingustāta,ingustātus,ingustātum,I_II
inhabilis,inhabilis,inhabile,III
inhabitābilis,inhabitābilis,inhabitābile,III
inhonesta,inhonestus,inhonestum,I_II
inhonōrāta,inhonōrātus,inhonōrātum,I_II
inhonōra,inhonōrus,inhonōrum,I_II
inhospitālis,inhospitālis,inhospitāle,III
inhospita,inhospitus,inhospitum,I_II
inhūmāna,inhūmānus,inhūmānum,I_II
inimīca,inimīcus,inimīcum,I_II
inīqua,inīquus,inīquum,I_II
iniūcunda,iniūcundus,iniūcundum,I_II
iniūrāta,iniūrātus,iniūrātum,I_II
iniūriōsa,iniūriōsus,iniūriōsum,I_II
iniūria,iniūrius,iniūrium,I_II
iniūssa,iniūssus,iniūssum,I_II
iniūsta,iniūstus,iniūstum,I_II
inlabefacta,inlabefactus,inlabefactum,I_II
inlacessīta,inlacessītus,inlacessītum,I_II
inlacrimābilis,inlacrimābilis,inlacrimābile,III
inlaesa,inlaesus,inlaesum,I_II
inlaetābilis,inlaetābilis,inlaetābile,III
inlaudāta,inlaudātus,inlaudātum,I_II
inlēcta,inlēctus,inlēctum,I_II
inlepida,inlepidus,inlepidum,I_II
inlībāta,inlībātus,inlībātum,I_II
inlīberālis,inlīberālis,inlīberāle,III
inlicita,inlicitus,inlicitum,I_II
inlīmis,inlīmis,inlīme,III
inliquefacta,inliquefactus,inliquefactum,I_II
inlitterāta,inlitterātus,inlitterātum,I_II
inlōta,inlōtus,inlōtum,I_II
inlūstris,inlūstris,inlūstre,III
innābilis,innābilis,innābile,III
innāta,innātus,innātum,I_II
innāvigābilis,innāvigābilis,innāvigābile,III
innocēns,innocēns,innocēns,III
innocua,innocuus,innocuum,I_II
innoxia,innoxius,innoxium,I_II
innuba,innubus,innubum,I_II
innumerābilis,innumerābilis,innumerābile,III
innumera,innumerus,innumerum,I_II
innūpta,innūptus,innūptum,I_II
inoblīta,inoblītus,inoblītum,I_II
inobruta,inobrutus,inobrutum,I_II
inobservābilis,inobservābilis,inobservābile,III
inobservāta,inobservātus,inobservātum,I_II
inoffēnsa,inoffēnsus,inoffēnsum,I_II
inofficiōsa,inofficiōsus,inofficiōsum,I_II
inōmināta,inōminātus,inōminātum,I_II
inopīnāns,inopīnāns,inopīnāns,III
inopīnāta,inopīnātus,inopīnātum,I_II
inopīna,inopīnus,inopīnum,I_II
inops,inops,inops,III
inōrāta,inōrātus,inōrātum,I_II
inōrdināta,inōrdinātus,inōrdinātum,I_II
inōrnāta,inōrnātus,inōrnātum,I_II
inquiēs,inquiēs,inquiēs,III
inquiēta,inquiētus,inquiētum,I_II
inquilīna,inquilīnus,inquilīnum,I_II
inquināta,inquinātus,inquinātum,I_II
inreligāta,inreligātus,inreligātum,I_II
inreligiōsa,inreligiōsus,inreligiōsum,I_II
inremeābilis,inremeābilis,inremeābile,III
inreparābilis,inreparābilis,inreparābile,III
inreperta,inrepertus,inrepertum,I_II
inreprehēnsa,inreprehēnsus,inreprehēnsum,I_II
inrequiēta,inrequiētus,inrequiētum,I_II
inresecta,inresectus,inresectum,I_II
inresolūta,inresolūtus,inresolūtum,I_II
inretorta,inretortus,inretortum,I_II
inrevocābilis,inrevocābilis,inrevocābile,III
inrevocāta,inrevocātus,inrevocātum,I_II
inrigua,inriguus,inriguum,I_II
inrītābilis,inrītābilis,inrītābile,III
inrita,inritus,inritum,I_II
inrupta,inruptus,inruptum,I_II
īnsalūbris,īnsalūbris,īnsalūbre,III
īnsalūtāta,īnsalūtātus,īnsalūtātum,I_II
īnsānābilis,īnsānābilis,īnsānābile,III
īnsāniēns,īnsāniēns,īnsāniēns,III
īnsāna,īnsānus,īnsānum,I_II
īnsatiābilis,īnsatiābilis,īnsatiābile,III
īnsaturābilis,īnsaturābilis,īnsaturābile,III
īnsciēns,īnsciēns,īnsciēns,III
īnscīta,īnscītus,īnscītum,I_II
īnscia,īnscius,īnscium,I_II
īnsepulta,īnsepultus,īnsepultum,I_II
īnsequēns,īnsequēns,īnsequēns,III
īnsidiōsa,īnsidiōsus,īnsidiōsum,I_II
īnsīgnis,īnsīgnis,īnsīgne,III
īnsīgnīta,īnsīgnītus,īnsīgnītum,I_II
īnsincēra,īnsincērus,īnsincērum,I_II
īnsipiēns,īnsipiēns,īnsipiēns,III
īnsitīva,īnsitīvus,īnsitīvum,I_II
īnsita,īnsitus,īnsitum,I_II
īnsociābilis,īnsociābilis,īnsociābile,III
īnsolēns,īnsolēns,īnsolēns,III
īnsolida,īnsolidus,īnsolidum,I_II
īnsolita,īnsolitus,īnsolitum,I_II
īnsomnis,īnsomnis,īnsomne,III
īnsōns,īnsōns,īnsōns,III
īnsōpīta,īnsōpītus,īnsōpītum,I_II
īnspērāta,īnspērātus,īnspērātum,I_II
īnspoliāta,īnspoliātus,īnspoliātum,I_II
īnstabilis,īnstabilis,īnstabile,III
īnstāns,īnstāns,īnstāns,III
īnstaurātīva,īnstaurātīvus,īnstaurātīvum,I_II
īnstrāta,īnstrātus,īnstrātum,I_II
īnstrēnua,īnstrēnuus,īnstrēnuum,I_II
īnstrūcta,īnstrūctus,īnstrūctum,I_II
īnsuāvis,īnsuāvis,īnsuāve,III
īnsuēfacta,īnsuēfactus,īnsuēfactum,I_II
īnsuēta,īnsuētus,īnsuētum,I_II
īnsulsa,īnsulsus,īnsulsum,I_II
īnsuperābilis,īnsuperābilis,īnsuperābile,III
intācta,intāctus,intāctum,I_II
intāmināta,intāminātus,intāminātum,I_II
intēcta,intēctus,intēctum,I_II
integella,integellus,integellum,I_II
integera,integer,integerum,I_II
intellegēns,intellegēns,intellegēns,III
intemerāta,intemerātus,intemerātum,I_II
intemperāns,intemperāns,intemperāns,III
intemperāta,intemperātus,intemperātum,I_II
intempestīva,intempestīvus,intempestīvum,I_II
intempesta,intempestus,intempestum,I_II
intemptāta,intemptātus,intemptātum,I_II
intenta,intentus,intentum,I_II
intercalāris,intercalāris,intercalāre,III
intercalāria,intercalārius,intercalārium,I_II
intercus,intercus,intercus,III
interfūsa,interfūsus,interfūsum,I_II
interia,interius,interium,I_II
intermēnstrua,intermēnstruus,intermēnstruum,I_II
intermināta,interminātus,interminātum,I_II
intermortua,intermortuus,intermortuum,I_II
intermūrālis,intermūrālis,intermūrāle,III
internecīva,internecīvus,internecīvum,I_II
interna,internus,internum,I_II
interpretāta,interpretātus,interpretātum,I_II
interpuncta,interpunctus,interpunctum,I_II
interrita,interritus,interritum,I_II
interrupta,interruptus,interruptum,I_II
intestābilis,intestābilis,intestābile,III
intestāta,intestātus,intestātum,I_II
intestīna,intestīnus,intestīnum,I_II
intima,intimus,intimum,I_II
intolerābilis,intolerābilis,intolerābile,III
intoleranda,intolerandus,intolerandum,I_II
intolerāns,intolerāns,intolerāns,III
intōnsa,intōnsus,intōnsum,I_II
intrābilis,intrābilis,intrābile,III
intrāctābilis,intrāctābilis,intrāctābile,III
intrāctāta,intrāctātus,intrāctātum,I_II
intrepida,intrepidus,intrepidum,I_II
intrīta,intrītus,intrītum,I_II
intumulāta,intumulātus,intumulātum,I_II
inturbida,inturbidus,inturbidum,I_II
intūta,intūtus,intūtum,I_II
inulta,inultus,inultum,I_II
inurbāna,inurbānus,inurbānum,I_II
inūsitāta,inūsitātus,inūsitātum,I_II
inūtilis,inūtilis,inūtile,III
invalida,invalidus,invalidum,I_II
invenusta,invenustus,invenustum,I_II
inverēcunda,inverēcundus,inverēcundum,I_II
inveterāta,inveterātus,inveterātum,I_II
invīcta,invīctus,invīctum,I_II
invidenda,invidendus,invidendum,I_II
invidēns,invidēns,invidēns,III
invidiōsa,invidiōsus,invidiōsum,I_II
invida,invidus,invidum,I_II
inviolābilis,inviolābilis,inviolābile,III
inviolāta,inviolātus,inviolātum,I_II
invīsitāta,invīsitātus,invīsitātum,I_II
invīsa,invīsus,invīsum,I_II
invīsa,invīsus,invīsum,I_II
invīta,invītus,invītum,I_II
invia,invius,invium,I_II
invocāta,invocātus,invocātum,I_II
involnerāta,involnerātus,involnerātum,I_II
involūta,involūtus,involūtum,I_II
iocōsa,iocōsus,iocōsum,I_II
ioculāris,ioculāris,ioculāre,III
ioculāria,ioculārius,ioculārium,I_II
īrācunda,īrācundus,īrācundum,I_II
īrāta,īrātus,īrātum,I_II
Ītalica,Ītalicus,Ītalicum,I_II
iubāta,iubātus,iubātum,I_II
iūcunda,iūcundus,iūcundum,I_II
Iūdaica,Iūdaicus,Iūdaicum,I_II
iūdicāta,iūdicātus,iūdicātum,I_II
iūdiciālis,iūdiciālis,iūdiciāle,III
iūdiciāria,iūdiciārius,iūdiciārium,I_II
iugālis,iugālis,iugāle,III
Iugāria,Iugārius,Iugārium,I_II
iugāta,iugātus,iugātum,I_II
iūgis,iūgis,iūge,III
iūgis,iūgis,iūge,III
iugōsa,iugōsus,iugōsum,I_II
Iūlēa,Iūlēus,Iūlēum,I_II
Iūlia,Iūlius,Iūlium,I_II
iuncea,iunceus,iunceum,I_II
iuncōsa,iuncōsus,iuncōsum,I_II
iūncta,iūnctus,iūnctum,I_II
Iūnōnālis,Iūnōnālis,Iūnōnāle,III
Iūnōnia,Iūnōnius,Iūnōnium,I_II
iūrāta,iūrātus,iūrātum,I_II
iūridiciālis,iūridiciālis,iūridiciāle,III
iūstifica,iūstificus,iūstificum,I_II
iūsta,iūstus,iūstum,I_II
iuvenālis,iuvenālis,iuvenāle,III
iuvenīlis,iuvenīlis,iuvenīle,III
iuvenis,iuvenis,iuvene,III
labōrifera,labōrifer,labōriferum,I_II
labōriōsa,labōriōsus,labōriōsum,I_II
labyrinthēa,labyrinthēus,labyrinthēum,I_II
lacera,lacer,lacerum,I_II
lacernāta,lacernātus,lacernātum,I_II
lacertōsa,lacertōsus,lacertōsum,I_II
Lacōnica,Lacōnicus,Lacōnicum,I_II
lacrimābilis,lacrimābilis,lacrimābile,III
lacrimābunda,lacrimābundus,lacrimābundum,I_II
lacrimōsa,lacrimōsus,lacrimōsum,I_II
lactēns,lactēns,lactēns,III
lacteola,lacteolus,lacteolum,I_II
lactea,lacteus,lacteum,I_II
lacūnōsa,lacūnōsus,lacūnōsum,I_II
laetābilis,laetābilis,laetābile,III
laetāta,laetātus,laetātum,I_II
laetifica,laetificus,laetificum,I_II
laeta,laetus,laetum,I_II
laeva,laevus,laevum,I_II
lāmentābilis,lāmentābilis,lāmentābile,III
lānāta,lānātus,lānātum,I_II
lānea,lāneus,lāneum,I_II
languēns,languēns,languēns,III
languidula,languidulus,languidulum,I_II
languida,languidus,languidum,I_II
lānifica,lānificus,lānificum,I_II
lānigera,lāniger,lānigerum,I_II
lapidea,lapideus,lapideum,I_II
lapidōsa,lapidōsus,lapidōsum,I_II
laqueāta,laqueātus,laqueātum,I_II
largifica,largificus,largificum,I_II
larga,largus,largum,I_II
lasarpīcifera,lasarpīcifer,lasarpīciferum,I_II
lascīva,lascīvus,lascīvum,I_II
lassula,lassulus,lassulum,I_II
lassa,lassus,lassum,I_II
latēbrōsa,latēbrōsus,latēbrōsum,I_II
latēns,latēns,latēns,III
laterīcia,laterīcius,laterīcium,I_II
Latiālis,Latiālis,Latiāle,III
Latiāris,Latiāris,Latiāre,III
Latīna,Latīnus,Latīnum,I_II
Latia,Latius,Latium,I_II
lāta,lātus,lātum,I_II
laudābilis,laudābilis,laudābile,III
laudanda,laudandus,laudandum,I_II
laudāta,laudātus,laudātum,I_II
laureāta,laureātus,laureātum,I_II
laurea,laureus,laureum,I_II
laurigera,lauriger,laurigerum,I_II
lauta,lautus,lautum,I_II
Lāvīnia,Lāvīnius,Lāvīnium,I_II
laxa,laxus,laxum,I_II
lēcta,lēctus,lēctum,I_II
lēgātōria,lēgātōrius,lēgātōrium,I_II
lēgifera,lēgifer,lēgiferum,I_II
legiōnāria,legiōnārius,legiōnārium,I_II
lēgitima,lēgitimus,lēgitimum,I_II
lēmniscāta,lēmniscātus,lēmniscātum,I_II
Lēmnia,Lēmnius,Lēmnium,I_II
Lēnaea,Lēnaeus,Lēnaeum,I_II
lēnis,lēnis,lēne,III
lentīscifera,lentīscifer,lentīsciferum,I_II
lentula,lentulus,lentulum,I_II
lenta,lentus,lentum,I_II
lepida,lepidus,lepidum,I_II
Lesbia,Lesbius,Lesbium,I_II
Lesbōa,Lesbōus,Lesbōum,I_II
lētālis,lētālis,lētāle,III
Lēthaea,Lēthaeus,Lēthaeum,I_II
lēthargica,lēthargicus,lēthargicum,I_II
lētifera,lētifer,lētiferum,I_II
leucaspis,leucaspis,leucaspe,III
levicula,leviculus,leviculum,I_II
levidēnsis,levidēnsis,levidēnse,III
levipēs,levipēs,levipēs,III
levis,levis,leve,III
lēvis,lēvis,lēve,III
libēns,libēns,libēns,III
lībera,līber,līberum,I_II
līberālis,līberālis,līberāle,III
lībertīna,lībertīnus,lībertīnum,I_II
Lībēthris,Lībēthris,Lībēthre,III
libīdinōsa,libīdinōsus,libīdinōsum,I_II
librāria,librārius,librārium,I_II
lībrāta,lībrātus,lībrātum,I_II
lībrīlis,lībrīlis,lībrīle,III
Liburna,Liburnus,Liburnum,I_II
licēns,licēns,licēns,III
licita,licitus,licitum,I_II
līgneola,līgneolus,līgneolum,I_II
līgnea,līgneus,līgneum,I_II
līmātula,līmātulus,līmātulum,I_II
līmāta,līmātus,līmātum,I_II
līmōsa,līmōsus,līmōsum,I_II
limpida,limpidus,limpidum,I_II
līma,līmus,līmum,I_II
līnea,līneus,līneum,I_II
līnigera,līniger,līnigerum,I_II
linteāta,linteātus,linteātum,I_II
lintea,linteus,linteum,I_II
lippa,lippus,lippum,I_II
liquēns,liquēns,liquēns,III
līquēns,līquēns,līquēns,III
liquida,liquidus,liquidum,I_II
