nominative,genitive,gender,declension
sāviolum,sāviolī,n,II
sāvium,sāviī,n,II
saxātilis,saxātilis,m,III
saxētum,saxētī,n,II
saxulum,saxulī,n,II
saxum,saxī,n,II
scabillum,scabillī,n,II
scaena,scaenae,f,I
scalmus,scalmī,m,II
scalpellum,scalpellī,n,II
scalprum,scalprī,n,II
scammōnea,scammōneae,f,I
scamnum,scamnī,n,II
scapha,scaphae,f,I
scaphium,scaphiī,n,II
scarus,scarī,m,II
scatebra,scatebrae,f,I
scelus,scelueris,n,III
scēptrum,scēptrī,n,II
scēptūchus,scēptūchī,m,II
schoenobatēs,schoenobatēsae,m,I
schola,scholae,f,I
scīda,scīdae,f,I
scientia,scientiae,f,I
scintilla,scintillae,f,I
scīpiō,scīpiōnis,m,III
scirpea,scirpeae,f,I
scirpiculus,scirpiculī,m,II
scirpus,scirpī,m,II
scītum,scītī,n,II
scītus,scītūs,m,IV
scobis,scobis,f,III
scopulus,scopulī,m,II
scorpiō,scorpiōnis,m,III
scorpius,scorpiī,m,II
scortātor,scortātōris,m,III
scortum,scortī,n,II
scrība,scrībae,m,I
scrīnium,scrīniī,n,II
scrīptiō,scrīptiōnis,f,III
scrīptor,scrīptöris,m,III
scrīptum,scrīptī,n,II
scrīptūra,scrīptūrae,f,I
scrīptus,scrīptūs,m,IV
scrīpulum,scrīpulī,n,II
scrobis,scrobis,m,III
scrōfa,scrōfae,f,I
scrūpulus,scrūpulī,m,II
scrūpus,scrūpī,m,II
scurra,scurrae,m,I
scurrīlitās,scurrīlitātis,f,III
scūtāle,scūtāleis,n,III
scutella,scutellae,f,I
scutica,scuticae,f,I
scutula,scutulae,f,I
scutula,scutulae,f,I
scūtulum,scūtulī,n,II
scūtum,scūtī,n,II
scyphus,scyphī,m,II
sēcessiō,sēcessiōnis,f,III
sēcessus,sēcessūs,m,IV
sēcrētiō,sēcrētiōnis,f,III
sēcrētum,sēcrētī,n,II
secta,sectae,f,I
sectātor,sectātōris,m,III
sectiō,sectiōnis,f,III
sector,sectōris,m,III
sectūra,sectūrae,f,I
secūris,secūris,f,III
sēcūritās,sēcūritātis,f,III
secūtor,secūtōris,m,III
sēdātiō,sēdātiōnis,f,III
sēdēcula,sēdēculae,f,I
sedīle,sedīleis,n,III
sēditiō,sēditiōnis,f,III
sēductiō,sēductiōnis,f,III
sēdulitās,sēdulitātis,f,III
seges,segeetis,f,III
sēgmentum,sēgmentī,n,II
sēgnitās,sēgnitātis,f,III
sēiūnctiō,sēiūnctiōnis,f,III
sēlēctiō,sēlēctiōnis,f,III
sēlībra,sēlībrae,f,I
sella,sellae,f,I
sellārius,sellāriī,m,II
sellula,sellulae,f,I
sēmen,sēmeninis,n,III
sēmentis,sēmentis,f,III
sēmibōs,sēmibōbovis,m,III
sēmihomo,sēmihomoinis,m,III
sēmihōra,sēmihōrae,f,I
sēmilixa,sēmilixae,m,I
sēmimās,sēmimmaris,m,III
sēminārium,sēmināriī,n,II
sēminātor,sēminātōris,m,III
Semīramis,Semīramidis,f,III
sēmis,sēmissis,m,III
sēmita,sēmitae,f,I
sēmodius,sēmodiī,m,II
sēmūncia,sēmūnciae,f,I
senāculum,senāculī,n,II
sēnāriolus,sēnāriolī,m,II
senātor,senātōris,m,III
senātus,senātūs,m,IV
senecta,senectae,f,I
senectūs,senectūtis,f,III
senium,seniī,n,II
sēnsus,sēnsūs,m,IV
sententia,sententiae,f,I
sententiola,sententiolae,f,I
sentēs,sentēsium,m,II
sentīna,sentīnae,f,I
sēparātiō,sēparātiōnis,f,III
sēpia,sēpiae,f,I
September,Septemberbris,m,III
septemtriō,septemtriōnis,m,III
septūnx,septūnūncis,m,III
sepulcrētum,sepulcrētī,n,II
sepulcrum,sepulcrī,n,II
sepultūra,sepultūrae,f,I
sera,serae,f,I
serēnitās,serēnitātis,f,III
sēria,sēriae,f,I
sermō,sermōnis,m,III
sermunculus,sermunculī,m,II
serpēns,serpēnentis,f,III
serpentigena,serpentigenae,m,I
serpentipēs,serpentippedis,m,III
serra,serrae,f,I
serrācum,serrācī,n,II
serrula,serrulae,f,I
serum,serī,n,II
servātor,servātōris,m,III
servātrīx,servātrīīcis,f,III
servitium,servitiī,n,II
servitūs,servitūtis,f,III
servola,servolae,f,I
servolus,servolī,m,II
servus,servī,m,II
seselis,seselis,f,III
sēsquimodius,sēsquimodiī,m,II
sēsquiplāga,sēsquiplāgae,f,I
sessiō,sessiōnis,f,III
sessiuncula,sessiunculae,f,I
sessor,sessōris,m,III
sevēritās,sevēritātis,f,III
sēvum,sēvī,n,II
sexennium,sexenniī,n,II
sextāns,sextānantis,m,III
sextārius,sextāriī,m,II
sextula,sextulae,f,I
sībilus,sībilī,m,II
Sibylla,Sibyllae,f,I
sīca,sīcae,f,I
siccitās,siccitātis,f,III
sīcula,sīculae,f,I
sīdus,sīdueris,n,III
sīgnātor,sīgnātōris,m,III
sīgnificātiō,sīgnificātiōnis,f,III
sīgnum,sīgnī,n,II
silentium,silentiī,n,II
Sīlēnūs,Sīlēnūsī,m,II
sīler,sīlereris,n,III
silex,sileicis,m,III
silicernium,silicerniī,n,II
silīgō,silīginis,f,III
siliqua,siliquae,f,I
sillybus,sillybī,m,II
silūrus,silūrī,m,II
Silvānus,Silvānī,m,II
silvicola,silvicolae,m,I
sīmia,sīmiae,f,I
simile,simileis,n,III
similitūdō,similitūdinis,f,III
sīmiolus,sīmiolī,m,II
sīmius,sīmiī,m,II
simplicitās,simplicitātis,f,III
simplum,simplī,n,II
simpulum,simpulī,n,II
simpuvium,simpuviī,n,II
simulācrum,simulācrī,n,II
simulāmen,simulāmeninis,n,III
simulātiō,simulātiōnis,f,III
simulātor,simulātōris,m,III
simultās,simultātis,f,III
sincēritās,sincēritātis,f,III
sīnciput,sīnciputpitis,n,III
sinistra,sinistrae,f,I
sīnum,sīnī,n,II
sinus,sinūs,m,IV
sīparium,sīpariī,n,II
sīphō,sīphōnis,n,III
Sīrēn,Sīrēnēnis,f,III
Sīrius,Sīriī,m,II
sīrus,sīrī,m,II
siser,sisereris,n,III
sīstrum,sīstrī,n,II
sisymbrium,sisymbriī,n,II
sitella,sitellae,f,I
sitis,sitis,f,III
sittybos,sittybosī,m,II
situs,sitūs,m,IV
smaragdus,smaragdī,m,II
smaris,smaridis,f,III
smīlax,smīlaacis,f,III
sōbrīnus,sōbrīnī,m,II
soccus,soccī,m,II
socia,sociae,f,I
societās,societātis,f,III
socius,sociī,m,II
sōcordia,sōcordiae,f,I
socrus,socrūs,m,IV
sodālitās,sodālitātis,f,III
sōl,sōlsōlis,m,III
sōlārium,sōlāriī,n,II
sōlātor,sōlātōris,m,III
solea,soleae,f,I
soliditās,soliditātis,f,III
sōlitūdō,sōlitūdinis,f,III
solitum,solitī,n,II
solium,soliī,n,II
sollemne,sollemneis,n,III
sollicitātiō,sollicitātiōnis,f,III
sollicitūdō,sollicitūdinis,f,III
solliferreum,solliferreī,n,II
soloecismus,soloecismī,m,II
sōlstitium,sōlstitiī,n,II
solum,solī,n,II
solūtiō,solūtiōnis,f,III
somnium,somniī,n,II
somnus,somnī,m,II
sonitus,sonitūs,m,IV
sonor,sonōris,m,III
sonus,sonī,m,II
sophistēs,sophistēsae,m,I
sopor,sopōris,m,III
sorbitiō,sorbitiōnis,f,III
sorbum,sorbī,n,II
sōrex,sōreicis,m,III
sōrītēs,sōrītēsae,m,I
soror,sorōris,f,III
sorōricīda,sorōricīdae,m,I
sortītiō,sortītiōnis,f,III
sortītor,sortītōris,m,III
Sōspita,Sōspitae,f,I
sōtēr,sōtērōris,m,III
spadō,spadōnis,m,III
spartum,spartī,n,II
sparulus,sparulī,m,II
sparus,sparī,m,II
spatha,spathae,f,I
spatium,spatiī,n,II
specillum,specillī,n,II
specimen,specimeninis,n,III
spectātiō,spectātiōnis,f,III
spectātor,spectātōris,m,III
spectātrīx,spectātrīīcis,f,III
spectiō,spectiōnis,f,III
spectrum,spectrī,n,II
specula,speculae,f,I
spēcula,spēculae,f,I
speculātor,speculātōris,m,III
speculātrīx,speculātrīīcis,f,III
speculum,speculī,n,II
specus,specūs,m,IV
spēlaeum,spēlaeī,n,II
spēlunca,spēluncae,f,I
spēs,spēsspeī,f,V
sphaera,sphaerae,f,I
spīca,spīcae,f,I
spīculum,spīculī,n,II
spīcum,spīcī,n,II
spīna,spīnae,f,I
spīnētum,spīnētī,n,II
spintria,spintriae,m,I
spīnus,spīnī,f,II
spīra,spīrae,f,I
spīrāculum,spīrāculī,n,II
spīritus,spīritūs,m,IV
splendor,splendōris,m,III
spoliātiō,spoliātiōnis,f,III
spoliātor,spoliātōris,m,III
spoliātrīx,spoliātrīīcis,f,III
spolium,spoliī,n,II
sponda,spondae,f,I
spondaulium,spondauliī,n,II
spondēus,spondēī,m,II
spongia,spongiae,f,I
spōnsa,spōnsae,f,I
spōnsālia,spōnsāliaium,n,II
spōnsiō,spōnsiōnis,f,III
spōnsor,spōnsōris,m,III
spōnsum,spōnsī,n,II
spōnsus,spōnsī,m,II
sportella,sportellae,f,I
sportula,sportulae,f,I
sprētor,sprētōris,m,III
spūma,spūmae,f,I
spūtum,spūtī,n,II
squālor,squālōris,m,III
squalus,squalī,m,II
squāma,squāmae,f,I
squatus,squatī,m,II
stabilīmen,stabilīmeninis,n,III
stabilitās,stabilitātis,f,III
stabulum,stabulī,n,II
stadium,stadiī,n,II
stāgnum,stāgnī,n,II
stāmen,stāmeninis,n,III
Stata,Statae,f,I
statēra,statērae,f,I
statiō,statiōnis,f,III
stator,statōris,m,III
statua,statuae,f,I
statūmen,statūmeninis,n,III
statūra,statūrae,f,I
status,statūs,m,IV
stella,stellae,f,I
stelliō,stelliōnis,m,III
stemma,stemmaatis,n,III
stercus,stercuoris,n,III
sterilitās,sterilitātis,f,III
sternūmentum,sternūmentī,n,II
stigma,stigmaatis,n,III
stigmatiās,stigmatiāsae,m,I
stīlla,stīllae,f,I
stīllicidium,stīllicidiī,n,II
stimulus,stimulī,m,II
stīpātiō,stīpātiōnis,f,III
stīpātor,stīpātōris,m,III
stīpendium,stīpendiī,n,II
stīpes,stīpeitis,m,III
stipula,stipulae,f,I
stipulātiō,stipulātiōnis,f,III
stipulātiuncula,stipulātiunculae,f,I
stīria,stīriae,f,I
stīva,stīvae,f,I
stola,stolae,f,I
stomachus,stomachī,m,II
storea,storeae,f,I
strabō,strabōnis,m,III
strāgēs,strāgis,f,III
strāgulum,strāgulī,n,II
strāmen,strāmeninis,n,III
strāmentum,strāmentī,n,II
strangūria,strangūriae,f,I
stratēgēma,stratēgēmaatis,n,III
strātum,strātī,n,II
strēnuitās,strēnuitātis,f,III
strepitus,strepitūs,m,IV
strictūra,strictūrae,f,I
strīdor,strīdōris,m,III
strigilis,strigilis,f,III
strix,stristrigis,f,III
stropha,strophae,f,I
strophium,strophiī,n,II
strūctor,strūctōris,m,III
strūctūra,strūctūrae,f,I
struēs,struis,f,III
strūma,strūmae,f,I
studium,studiī,n,II
stultitia,stultitiae,f,I
stupiditās,stupiditātis,f,III
stupor,stupōris,m,III
stūppa,stūppae,f,I
stuprum,stuprī,n,II
Suāda,Suādae,f,I
Suādēla,Suādēlae,f,I
suāsiō,suāsiōnis,f,III
suāsor,suāsōris,m,III
suāsus,suāsūs,m,IV
suāviloquentia,suāviloquentiae,f,I
suāvitās,suāvitātis,f,III
suāvium,suāviī,n,II
subāctiō,subāctiōnis,f,III
subcenturiō,subcenturiōnis,m,III
subductiō,subductiōnis,f,III
sūber,sūbereris,n,III
subiectiō,subiectiōnis,f,III
subiector,subiectōris,m,III
sublātiō,sublātiōnis,f,III
sublevātiō,sublevātiōnis,f,III
sublica,sublicae,f,I
subligāculum,subligāculī,n,II
subligar,subligarāris,n,III
submissiō,submissiōnis,f,III
subnuba,subnubae,f,I
subscrīptiō,subscrīptiōnis,f,III
subscrīptor,subscrīptōris,m,III
subsellium,subselliī,n,II
subsidium,subsidiī,n,II
subsortītiō,subsortītiōnis,f,III
substantia,substantiae,f,I
substrūctiō,substrūctiōnis,f,III
subtēmen,subtēmeninis,n,III
subtīlitās,subtīlitātis,f,III
subūcula,subūculae,f,I
subulcus,subulcī,m,II
Subūra,Subūrae,f,I
suburbānitās,suburbānitātis,f,III
suburbium,suburbiī,n,II
subvectiō,subvectiōnis,f,III
subvectus,subvectūs,m,IV
subversor,subversōris,m,III
successiō,successiōnis,f,III
successor,successōris,m,III
succīdia,succīdiae,f,I
sūcō,sūcōnis,m,III
sūdārium,sūdāriī,n,II
sudis,sudis,f,III
sūdor,sūdōris,m,III
suffīmen,suffīmeninis,n,III
suffīmentum,suffīmentī,n,II
sufflāmen,sufflāmeninis,n,III
suffrāgātiō,suffrāgātiōnis,f,III
suffrāgātor,suffrāgātōris,m,III
suffrāgium,suffrāgiī,n,II
suffugium,suffugiī,n,II
suggestum,suggestī,n,II
sūgillātiō,sūgillātiōnis,f,III
sulcus,sulcī,m,II
sulfur,sulfururis,n,III
sūmen,sūmeninis,n,III
summa,summae,f,I
sūmptiō,sūmptiōnis,f,III
sūmptus,sūmptūs,m,IV
suovetaurīlia,suovetaurīliaium,n,II
supellex,supellelectilis,f,III
superātor,superātōris,m,III
superbia,superbiae,f,I
superbiloquentia,superbiloquentiae,f,I
supercilium,superciliī,n,II
superlātiō,superlātiōnis,f,III
superstitiō,superstitiōnis,f,III
suppeditātiō,suppeditātiōnis,f,III
supplēmentum,supplēmentī,n,II
supplicātiō,supplicātiōnis,f,III
supplicium,suppliciī,n,II
supplōsiō,supplōsiōnis,f,III
suppressiō,suppressiōnis,f,III
sūra,sūrae,f,I
sūrculus,sūrculī,m,II
surditās,surditātis,f,III
surēna,surēnae,m,I
sūs,ssuis,m,III
susceptiō,susceptiōnis,f,III
susceptum,susceptī,n,II
suspectus,suspectūs,m,IV
suspendium,suspendiī,n,II
suspīciō,suspīciōnis,f,III
suspīrium,suspīriī,n,II
sustentāculum,sustentāculī,n,II
sustentātīō,sustentātīōnis,f,III
susurrus,susurrī,m,II
sūtor,sūtōris,m,III
sūtūra,sūtūrae,f,I
sȳcophanta,sȳcophantae,m,I
syllaba,syllabae,f,I
symbola,symbolae,f,I
symphōnia,symphōniae,f,I
Symposium,Symposiī,n,II
synedrus,synedrī,m,II
syngrapha,syngraphae,f,I
synodūs,synodontis,m,III
syrma,syrmaatis,n,III
Syrtis,Syrtis,f,III
tabella,tabellae,f,I
taberna,tabernae,f,I
tabernāculum,tabernāculī,n,II
tabernārius,tabernāriī,m,II
tābēs,tābis,f,III
tabula,tabulae,f,I
tabulārium,tabulāriī,n,II
tabulātiō,tabulātiōnis,f,III
tabulātum,tabulātī,n,II
Tacita,Tacitae,f,I
taciturnitās,taciturnitātis,f,III
tāctiō,tāctiōnis,f,III
taeda,taedae,f,I
taedium,taediī,n,II
taenia,taeniae,f,I
Talassius,Talassiī,m,II
tālea,tāleae,f,I
talentum,talentī,n,II
talpa,talpae,f,I
tālus,tālī,m,II
Tanaquil,Tanaquilīlis,f,III
Tantalidēs,Tantalidēsae,m,I
Tantalis,Tantalidis,f,III
Tantalos,Tantalosī,m,II
tarditās,tarditātis,f,III
taurus,taurī,m,II
taxātiō,taxātiōnis,f,III
tāxillus,tāxillī,m,II
taxus,taxī,f,II
techina,techinae,f,I
tēctor,tēctōris,m,III
tēctum,tēctī,n,II
teges,tegeetis,f,III
tēgula,tēgulae,f,I
tegumen,tegumeninis,n,III
tēla,tēlae,f,I
tellūs,tellūris,f,III
tēlum,tēlī,n,II
temeritās,temeritātis,f,III
tēmētum,tēmētī,n,II
tēmō,tēmōnis,m,III
temperāmentum,temperāmentī,n,II
temperantia,temperantiae,f,I
temperātiō,temperātiōnis,f,III
temperātor,temperātōris,m,III
tempestās,tempestātis,f,III
tempestīvitās,tempestīvitātis,f,III
templum,templī,n,II
temptāmen,temptāmeninis,n,III
temptāmentum,temptāmentī,n,II
temptātiō,temptātiōnis,f,III
temptātor,temptātōris,m,III
tempus,tempuōris,n,III
tempus,tempuoris,n,III
tenācitās,tenācitātis,f,III
tendicula,tendiculae,f,I
teneritās,teneritātis,f,III
tēnesmos,tēnesmosī,m,II
tenor,tenōris,m,III
tēnsa,tēnsae,f,I
tentōrium,tentōriī,n,II
tenuitās,tenuitātis,f,III
tepor,tepōris,m,III
terebinthus,terebinthī,f,II
terēdō,terēdinis,f,III
tergiversātiō,tergiversātiōnis,f,III
tergum,tergī,n,II
tergus,terguoris,n,III
termes,termeitis,m,III
Terminālia,Termināliaium,n,II
terminātiō,terminātiōnis,f,III
terminus,terminī,m,II
terra,terrae,f,I
terriculum,terriculī,n,II
territōrium,territōriī,n,II
terror,terrōris,m,III
terūncius,terūnciī,m,II
tessella,tessellae,f,I
tessera,tesserae,f,I
tesserārius,tesserāriī,m,II
tesserula,tesserulae,f,I
testa,testae,f,I
testāmentum,testāmentī,n,II
testātiō,testātiōnis,f,III
testiculus,testiculī,m,II
testificātiō,testificātiōnis,f,III
testimōnium,testimōniī,n,II
testis,testis,m,III
testis,testis,m,III
testūdō,testūdinis,f,III
testula,testulae,f,I
tetrāchmum,tetrāchmī,n,II
tetrarchēs,tetrarchēsae,m,I
tetrarchia,tetrarchiae,f,I
textor,textōris,m,III
textrīnum,textrīnī,n,II
textum,textī,n,II
textura,texturae,f,I
thalamus,thalamī,m,II
Thalīa,Thalīae,f,I
theātrum,theātrī,n,II
thēca,thēcae,f,I
Themis,Themidis,f,III
theologus,theologī,m,II
Thersītēs,Thersītēsae,m,I
thēsaurus,thēsaurī,m,II
Thetis,Thetidis,f,III
thiasus,thiasī,m,II
tholus,tholī,m,II
thōrāx,thōrāācis,m,III
thunnus,thunnī,m,II
thymbra,thymbrae,f,I
thymum,thymī,n,II
thyrsus,thyrsī,m,II
tībia,tībiae,f,I
tībīcen,tībīceninis,m,III
tībīcina,tībīcinae,f,I
tībīcinium,tībīciniī,n,II
tigillum,tigillī,n,II
tīgnum,tīgnī,n,II
tigris,tigridis,m,III
tilia,tiliae,f,I
timiditās,timiditātis,f,III
timor,timōris,m,III
tinea,tineae,f,I
tinnītus,tinnītūs,m,IV
tintinnābulum,tintinnābulī,n,II
tīnus,tīnī,f,II
tīrō,tīrōnis,m,III
tīrōcinium,tīrōciniī,n,II
tīrunculus,tīrunculī,m,II
tītillātiō,tītillātiōnis,f,III
titubātiō,titubātiōnis,f,III
titulus,titulī,m,II
Tītyrus,Tītyrī,m,II
toculliō,toculliōnis,m,III
tōfus,tōfī,m,II
toga,togae,f,I
togāta,togātae,f,I
togula,togulae,f,I
tolerantia,tolerantiae,f,I
tolerātiō,tolerātiōnis,f,III
tollēnō,tollēnōnis,m,III
tomāculum,tomāculī,n,II
tomentum,tomenti,n,II
tonitrus,tonitrūs,m,IV
tōnsa,tōnsae,f,I
tōnsor,tōnsōris,m,III
tōnstrīcula,tōnstrīculae,f,I
tōnsūra,tōnsūrae,f,I
toral,toralālis,n,III
toreuma,toreumaatis,n,III
tormentum,tormentī,n,II
tornus,tornī,m,II
torpēdō,torpēdinis,f,III
torpor,torpōris,m,III
torquis,torquis,m,III
torris,torris,m,III
tortor,tortōris,m,III
tortus,tortūs,m,IV
torus,torī,m,II
torvitās,torvitātis,f,III
toxicum,toxicī,n,II
trabea,trabeae,f,I
trabs,trabtrabis,f,III
tractātiō,tractātiōnis,f,III
tractus,tractūs,m,IV
trāditiō,trāditiōnis,f,III
trāditor,trāditōris,m,III
trāductiō,trāductiōnis,f,III
trāductor,trāductōris,m,III
tradux,traduucis,m,III
tragoedia,tragoediae,f,I
tragoedus,tragoedī,m,II
trāgula,trāgulae,f,I
tragus,tragī,m,II
trahea,traheae,f,I
trāiectiō,trāiectiōnis,f,III
trāiectus,trāiectūs,m,IV
trāmes,trāmeitis,m,III
tranquillitās,tranquillitātis,f,III
trānsāctor,trānsāctōris,m,III
trānsenna,trānsennae,f,I
trānsfugium,trānsfugiī,n,II
trānsfūsiō,trānsfūsiōnis,f,III
trānsgressiō,trānsgressiōnis,f,III
trānsgressus,trānsgressūs,m,IV
trānsitiō,trānsitiōnis,f,III
trānslātiō,trānslātiōnis,f,III
trānslātor,trānslātōris,m,III
trānsmissiō,trānsmissiōnis,f,III
trānstrum,trānstrī,n,II
trapētum,trapētī,n,II
trapezephorum,trapezephorī,n,II
trāvectiō,trāvectiōris,f,III
tremor,tremōris,m,III
trepidātiō,trepidātiōnis,f,III
tribas,tribaadis,f,III
tribolus,tribolī,m,II
tribūlis,tribūlis,m,III
trībulum,trībulī,n,II
tribūnal,tribūnalālis,n,III
tribūnātus,tribūnātūs,m,IV
tribūnus,tribūnī,m,II
tribus,tribūs,f,IV
tribūtiō,tribūtiōnis,f,III
tribūtum,tribūtī,n,II
trichila,trichilae,f,I
trīclīnium,trīclīniī,n,II
trīduum,trīduī,n,II
triennia,trienniaium,n,II
triennium,trienniī,n,II
triēns,triēnentis,m,III
trientābulum,trientābulī,n,II
triērarchus,triērarchī,m,II
trietēris,trietēridis,f,III
trigōn,trigōnōnis,m,III
trimeter,trimeterī,m,II
tripudium,tripudiī,n,II
tripūs,trippodis,m,III
trīstitia,trīstitiae,f,I
trīticum,trīticī,n,II
Trītōn,Trītōnōnis,m,III
Trītōnia,Trītōniae,f,I
Trītōnis,Trītōnisidis,f,II
trītūra,trītūrae,f,I
triumphus,triumphī,m,II
trivium,triviī,n,II
trochaeus,trochaeī,m,II
trochus,trochī,m,II
Trōiugena,Trōiugenae,m,I
tropaeum,tropaeī,n,II
trucīdātiō,trucīdātiōnis,f,III
truculentia,truculentiae,f,I
trudis,trudis,f,III
trulla,trullae,f,I
truncus,truncī,m,II
trutina,trutinae,f,I
tuba,tubae,f,I
tūber,tūbereris,n,III
tubicen,tubicencinis,m,III
tubilūstrium,tubilūstriī,n,II
tugurium,tuguriī,n,II
tuitiō,tuitiōnis,f,III
tumor,tumōris,m,III
tumultuātiō,tumultuātiōnis,f,III
tumultus,tumultūs,m,IV
tumulus,tumulī,m,II
tunica,tunicae,f,I
turba,turbae,f,I
turbāmentum,turbāmentī,n,II
turbātiō,turbātiōnis,f,III
turbātor,turbātōris,m,III
turbō,turbinis,m,III
turdus,turdī,m,II
tūribulum,tūribulī,n,II
turma,turmae,f,I
turpitūdō,turpitūdinis,f,III
turris,turris,f,III
turtur,turtururis,m,III
tūs,ttūris,n,III
tussis,tussis,f,III
tūtāmen,tūtāmeninis,n,III
tūtāmentum,tūtāmentī,n,II
tūtēla,tūtēlae,f,I
tūtor,tūtōris,m,III
tympanum,tympanī,n,II
typus,typī,m,II
tyrannis,tyrannidis,f,III
tyrannoctonus,tyrannoctonī,m,II
tyrannus,tyrannī,m,II
tȳrotarīchos,tȳrotarīchosī,m,II
ūber,ūbereris,n,III
ūbertās,ūbertātis,f,III
ulcus,ulcueris,n,III
ūlīgō,ūlīginis,f,III
ulmus,ulmī,f,II
ūlna,ūlnae,f,I
ūltiō,ūltiōnis,f,III
ūltor,ūltōris,f,III
ulula,ululae,f,I
ulva,ulvae,f,I
umbella,umbellae,f,I
umbilīcus,umbilīcī,m,II
umbō,umbōnis,m,III
umbra,umbrae,f,I
umbrāculum,umbrāculī,n,II
ūnanimitās,ūnanimitātis,f,III
uncia,unciae,f,I
unciola,unciolae,f,I
ūnctiō,ūnctiōnis,f,III
ūnctor,ūnctōris,m,III
ūnctum,ūnctī,n,II
ūnctūra,ūnctūrae,f,I
uncus,uncī,m,II
unda,undae,f,I
unguen,ungueninis,n,III
unguentārius,unguentāriī,m,II
unguentum,unguentī,n,II
unguiculus,unguiculī,m,II
unguis,unguis,m,III
ungula,ungulae,f,I
ūniversitās,ūniversitātis,f,III
ūpiliō,ūpiliōnis,m,III
Ūrania,Ūraniae,f,I
urbānitās,urbānitātis,f,III
urbs,urburbis,f,III
urceolus,urceolī,m,II
urceus,urceī,m,II
ūrēdō,ūrēdinis,f,III
ūrīna,ūrīnae,f,I
ūrīnātor,ūrīnātōris,m,III
Urios,Uriosī,m,II
urna,urnae,f,I
urnula,urnulae,f,I
ursa,ursae,f,I
ursus,ursī,m,II
ūrtīca,ūrtīcae,f,I
ūrus,ūrī,m,II
ūstor,ūstōris,m,III
ūsūcapiō,ūsūcapiōnis,f,III
ūsūra,ūsūrae,f,I
ūsūrpātiō,ūsūrpātiōnis,f,III
ūsus,ūsūs,m,IV
ūter,ūtertris,m,III
uterus,uterī,m,II
ūtilitās,ūtilitātis,f,III
utrārius,utrāriī,m,II
ūva,ūvae,f,I
uxor,uxōris,f,III
vacātiō,vacātiōnis,f,III
vacca,vaccae,f,I
vaccīnium,vaccīniī,n,II
vaccula,vacculae,f,I
vacuitās,vacuitātis,f,III
Vacūna,Vacūnae,f,I
vadimōnium,vadimōniī,n,II
vadum,vadī,n,II
vāgīna,vāgīnae,f,I
valētūdinārium,valētūdināriī,n,II
valētūdō,valētūdinis,f,III
vallēs,vallis,f,III
vāllum,vāllī,n,II
vāllus,vāllī,m,II
vāniloquentia,vāniloquentiae,f,I
vānitās,vānitātis,f,III
vannus,vannī,f,II
vānum,vānī,n,II
vapor,vapōris,m,III
vapōrārium,vapōrāriī,n,II
vappa,vappae,f,I
variātiō,variātiōnis,f,III
varietās,varietātis,f,III
varix,variicis,m,III
vas,vavadis,m,III
vās,vvāsis,n,III
vāsārium,vāsāriī,n,II
vāsculārius,vāsculāriī,m,II
vāsculum,vāsculī,n,II
vāstātiō,vāstātiōnis,f,III
vāstātor,vāstātōris,m,III
vāstitās,vāstitātis,f,III
vātēs,vātis,m,III
vāticinātiō,vāticinātiōnis,f,III
vāticinātor,vāticinātōris,m,III
vatillum,vatillī,n,II
vēcordia,vēcordiae,f,I
vectīgal,vectīgalālis,n,III
vectiō,vectiōnis,f,III
vectis,vectis,m,III
vector,vectōris,m,III
vectūra,vectūrae,f,I
vehiculum,vehiculī,n,II
Vēiovis,Vēiovis,m,III
Vēlābrum,Vēlābrī,n,II
vēlāmen,vēlāmeninis,n,III
vēlārium,vēlāriī,n,II
vēles,vēleitis,m,III
vēlificātiō,vēlificātiōnis,f,III
vellus,vellueris,n,III
vēlōcitās,vēlōcitātis,f,III
vēlum,vēlī,n,II
vēna,vēnae,f,I
vēnābulum,vēnābulī,n,II
vēnātiō,vēnātiōnis,f,III
vēnātor,vēnātōris,m,III
vēnātrīx,vēnātrīīcis,f,III
vēnditātiō,vēnditātiōnis,f,III
vēnditātor,vēnditātōris,m,III
vēnditiō,vēnditiōnis,f,III
vēnditor,vēnditōris,m,III
vēnditum,vēnditī,n,II
venēfica,venēficae,f,I
venēficium,venēficiī,n,II
venēnum,venēnī,n,II
venerātiō,venerātiōnis,f,III
venerātor,venerātōris,m,III
venia,veniae,f,I
vennuncula,vennunculae,f,I
venter,ventertris,m,III
ventriculus,ventriculī,m,II
ventulus,ventulī,m,II
ventus,ventī,m,II
venus,venueris,f,III
venustās,venustātis,f,III
veprēcula,veprēculae,f,I
veprēs,vepris,m,III
vēr,vērvēris,n,III
verbēna,verbēnae,f,I
verberō,verberōnis,m,III
verbum,verbī,n,II
Vercingetorīx,Vercingetorīrīgis,m,III
verēcundia,verēcundiae,f,I
verētrum,verētrī,n,II
vergobretus,vergobretī,m,II
vēriloquium,vēriloquiī,n,II
vēritās,vēritātis,f,III
verna,vernae,m,I
vernula,vernulae,m,I
verpa,verpae,f,I
verpus,verpī,m,II
verrēs,verris,m,III
verrūca,verrūcae,f,I
versiculus,versiculī,m,II
versūra,versūrae,f,I
versus,versūs,m,IV
vertex,verteicis,m,III
vertīgō,vertīginis,f,III
Vertumnus,Vertumnī,m,II
verū,verūūs,n,IV
vērum,vērī,n,II
verūtum,verūtī,n,II
vervēx,vervēēcis,m,III
vēsānia,vēsāniae,f,I
vēsīca,vēsīcae,f,I
vēsīcula,vēsīculae,f,I
